Números:

---minutos---> 240,000 / 
---minutos---> 239,983 /  ---segundos--> 59 / FIM
---minutos---> 239,967 /  ---segundos--> 58 / FIM
---minutos---> 239,950 /  ---segundos--> 57 / FIM
---minutos---> 239,933 /  ---segundos--> 56 / FIM
---minutos---> 239,917 /  ---segundos--> 55 / FIM
---minutos---> 239,900 /  ---segundos--> 54 / FIM
---minutos---> 239,883 /  ---segundos--> 53 / FIM
---minutos---> 239,867 /  ---segundos--> 52 / FIM
---minutos---> 239,850 /  ---segundos--> 51 / FIM
---minutos---> 239,833 /  ---segundos--> 50 / FIM
---minutos---> 239,817 /  ---segundos--> 49 / FIM
---minutos---> 239,800 /  ---segundos--> 48 / FIM
---minutos---> 239,783 /  ---segundos--> 47 / FIM
---minutos---> 239,767 /  ---segundos--> 46 / FIM
---minutos---> 239,750 /  ---segundos--> 45 / FIM
---minutos---> 239,733 /  ---segundos--> 44 / FIM
---minutos---> 239,717 /  ---segundos--> 43 / FIM
---minutos---> 239,700 /  ---segundos--> 42 / FIM
---minutos---> 239,683 /  ---segundos--> 41 / FIM
---minutos---> 239,667 /  ---segundos--> 40 / FIM
---minutos---> 239,650 /  ---segundos--> 39 / FIM
---minutos---> 239,633 /  ---segundos--> 38 / FIM
---minutos---> 239,617 /  ---segundos--> 37 / FIM
---minutos---> 239,600 /  ---segundos--> 36 / FIM
---minutos---> 239,583 /  ---segundos--> 35 / FIM
---minutos---> 239,567 /  ---segundos--> 34 / FIM
---minutos---> 239,550 /  ---segundos--> 33 / FIM
---minutos---> 239,533 /  ---segundos--> 32 / FIM
---minutos---> 239,517 /  ---segundos--> 31 / FIM
---minutos---> 239,500 /  ---segundos--> 30 / FIM
---minutos---> 239,483 /  ---segundos--> 29 / FIM
---minutos---> 239,467 /  ---segundos--> 28 / FIM
---minutos---> 239,450 /  ---segundos--> 27 / FIM
---minutos---> 239,433 /  ---segundos--> 26 / FIM
---minutos---> 239,417 /  ---segundos--> 25 / FIM
---minutos---> 239,400 /  ---segundos--> 24 / FIM
---minutos---> 239,383 /  ---segundos--> 23 / FIM
---minutos---> 239,367 /  ---segundos--> 22 / FIM
---minutos---> 239,350 /  ---segundos--> 21 / FIM
---minutos---> 239,333 /  ---segundos--> 20 / FIM
---minutos---> 239,317 /  ---segundos--> 19 / FIM
---minutos---> 239,300 /  ---segundos--> 18 / FIM
---minutos---> 239,283 /  ---segundos--> 17 / FIM
